제품명,효능
광동알디액,"○ 다음 경우의 비타민 E, B1, B2, B6의 보급 - 육체피로 - 임신·수유기 - 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다."
광동알벤다졸정(수출용),"회충, 요충, 십이지장충, 편충, 아메리카 구충, 분선충의 감염 및 이들 혼합감염의 치료"
광동알벤다졸정(알벤다졸),"회충, 요충, 십이지장충, 편충, 아메리카 구충, 분선충의 감염 및 이들 혼합감염의 치료"
광동에너릭정,"졸음, 피로회복"
광동치올페이스트(히노키티올),"치은염, 구내염, 설염(혀염), 입술염, 사랑니주위염 및 치조(이틀)농루의 완화"
광동큐디액,"- 육체피로 - 임신·수유기 - 병중·병후의 체력저하시 - 노년기 - 다음 증상의 완화 : 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염),습진, 피부염"
광동탕에이액,"감기의 제증상 (두통, 인후통, 오한, 발열, 관절통, 근육통)의 완화"
광동탕엠액,"감기의 제증상(인후통, 오한, 발열, 두통, 관절통, 근육통)의 완화"
광동파워센액(시트룰린말산염),기능 무력증의 보조치료
광동포비돈요오드가글액,"구강내(입안) 및 인후(목구멍)의 살균, 소독, 세정, 구취제거"
광동프라목신크림(프라목신염산염),"치질로 인한 다음 증상의 일시적 완화 : 불쾌감, 작열감, 가려움"
구로칼캡슐(결정글루코사민황산염)(수출용),골관절염(퇴행성 관절질환)
구로칼캡슐500mg(결정글루코사민황산염)(수출명:GUROCAL 500mg CAPSULE)(수출용),골관절염(퇴행성 관절질환)
구루치온정100밀리그램(글루타티온(환원형)),약물중독
구미태고액1%(알킬디아미노에틸글리신염산염액),- 손 및 피부의 소독 - 수술부위의 피부소독 - 수술부위의 점막소독 - 피부ㆍ점막의 창상부위 소독 - 의료 용구의 소독 - 수술실 병실 가구 기구 물품 등의 소독
구미포비돈세정액7.5%(포비돈요오드),수술자의 손 및 팔의 살균소독 수술부위의 살균소독
구미포비돈요오드액,"- 찢긴 상처, 화상, 창상의 살균소독 - 궤양, 농양의 살균소독 - 감염피부면의 소독 - 수술부위의 살균소독 - 주사 및 카테터부위의 소독"
구미포비스왑스틱(포비돈요오드)(수출명:포비딕),"- 찢긴상처, 화상 ,창상의 살균소독 - 궤양, 농양의 살균소독 - 감염피부면의 소독 - 수술부위의 살균소독 - 주사 및 카테터부위의 소독"
구미헥시에탄올스틱스왑액,"수술전 환자의 피부소독, 주사기 바늘, 카테타 삽입 전 환자의 피부소독"
구미헥시이소프로필스틱스왑액,"- 수술전 환자의 피부소독 - 주사기 바늘, 카테타 삽입 전 환자의 피부소독"
구미헥시크린브러쉬액(클로르헥시딘글루콘산염액),수술시 수술자 및 보건 위생종사자의 손 소독
구미헥시크린에이액(글루콘산클로르헥시딘액),"- 손 및 피부의 소독(보건위생종사자 및 수술 시 수술자의 손 소독, 수술부위 피부의 소독은 제외) - 의료용구의 소독 - 가구, 기구 등의 소독 - 피부의 창상부위 소독"
구미헥시크린에타2%액,"수술전 환자의 피부소독, 주사기 바늘, 카테타 삽입 전 환자의 피부소독"
구미화이트셒액,- 손 및 피부의 소독 - 수술부위의 피부소독
구미히비크린에이액(글루콘산클로르헥시딘액),수술시 수술자 및 보건위생종사자의 손 소독
구바파정,"- 육체피로 - 임신·수유기 - 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하 시 - 다음 증상의 완화 : 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염"
구아내정,"육체피로, 임신 ㆍ 수유기, 병중 ㆍ 병후의 체력저하시 구각염, 구순염, 구내염, 설염, 습진, 피부염, 옻오름, 짓무름, 여드름, 거칠어진 피부"
구주로라타딘정10밀리그람(수출명:로히스타정),"알레르기성 비염(재채기, 코막힘, 가려움, 눈의 작열감), 만성 특발성 두드러기"
구청껌정(수출용),"목의 통증 완화, 감기로 인한 기침, 구강의 급.만성 감염증, 치육염, 치주염, 치석의 형성억제, 충치예방"
국제아시클로버크림,단순포진 바이러스 감염증(초기 및 재발성 생식기 포진과 구순포진 포함)
굿모닝에이스정,"⋅변비 ⋅변비에 따른 다음 증상의 완화 : 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질"
굿엔코액,"감기의 제증상(콧물, 코막힘, 재채기, 인후통, 오한, 발열, 두통, 관절통, 근육통)의 완화"
굿엔콜액,"감기의 제증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화"
굿포미정,- 피임 - 이 약을 복용할 수 있는 여성의 중등도의 여드름 치료
그날엔노즈에이연질캡슐,"감기의 제증상(콧물, 코막힘, 재채기, 인후통, 오한, 발열, 두통, 관절통, 근육통)의 완화"
그날엔노즈플러스연질캡슐,"감기의 제증상(콧물, 코막힘, 재채기, 인후통, 오한, 발열, 두통, 관절통, 근육통)의 완화"
그날엔더블유연질캡슐,"1. 두통, 치통, 발치후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삠통증), 월경통(생리통), 외상통의 진통, 2. 오한(춥고 떨리는 증상), 발열시의 해열"
그날엔딥24플라스타(디클로페낙나트륨),"다음 질환 및 증상의 진통, 소염(항염)"
그날엔에이스연질캡슐,"1) 두통, 치통, 발치후 동통(통증), 인후통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삠통증), 월경통(생리통), 외상통의 진통 2) 오한, 발열시의 해열"
그날엔코프에이연질캡슐,"감기의 제증상(인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화"
그날엔코프플러스연질캡슐,"감기의 제증상(인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화"
그날엔콜드에이연질캡슐,"감기의 제증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화"
그날엔콜드플러스연질캡슐,"감기의 제증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화"
그랑페롤연질캡슐1000아이유(비타민이프리퍼레이션),": 어깨·목 결림, 수족저림(손발저림)·수족냉증(손발이 차가움), 간헐성 파행증(이따금 절뚝거림), 동상 등."
그랑페롤연질캡슐400아이유(비타민이프리퍼레이션)(군납명:토코페롤연질캡슐400아이유100캡슐),"- 어깨ㆍ 목 결림, 수족저림(손발저림)ㆍ 수족냉증(손발이 차가움), 간헐성 파행증(이따금 절뚝거림), 동상 등"
그루타제정,"소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감"
그린관장약(농글리세린)(수출명:FIT-APO),"변비, 장내용물의 배설"
그린나잘스프레이모이스쳐액(옥시메타졸린염산염),"코감기(급성비염(코염)), 알레르기성 비염(코염) 또는 부비동염에 의한 다음 증상의 완화 : 코막힘, 콧물, 재채기, 머리무거움"
그린노즈에스시럽,"다음 증상의 일시적완화 : 눈의가려움, 눈물, 콧물, 코 또는 인후(목구멍)의가려움, 재채기, 코막힘 및 부비동 울혈"
그린노즈에스캡슐,"코감기(급성비염), 알레르기성 비염 또는 부비동염에 의한 다음 증상의 완화 : 코막힘, 콧물, 재채기, 눈물, 인후통, 머리 무거움"
