품목기준코드,제품명,제품영문명,업체명,업체영문명,주성분,첨가제,품목분류,전문의약품,주성분영문,효능
201700839,가네타인액,Ganetaine Sol.,동성제약(주),"DONGSUNG BIO PHARM. CO., LTD",L-아르기닌/베타인/베타인염산염/시트르산수화물,"벤조산나트륨,드링크향,백당,수크랄로스,카라멜색소,D-소르비톨액,정제수",,일반의약품,L-Arginine/Betaine/Betaine Hydrochloride/Citric Acid Hydrate,간질환의 보조 치료제
200808096,가네탑골드연질캡슐,Ganetop Gold Soft Cap.,일양약품(주),"IL-YANG PHARM. CO., LTD.",밀크시슬열매건조엑스/티아민질산염/피리독신염산염/니코틴산아미드/판토텐산 칼슘/시아노코발라민,"중쇄트리글리세리드,콩기름,레시틴,흑색산화철,에틸바닐린,젤라틴,소르비톨 액(비결정성),카르나우바납,경화유,백납,농글리세린,적색산화철",,일반의약품,Milk-Thistle Fruit Dried Extract/Thiamine Nitrate/Pyridoxine Hydrochloride/Nicotinamide/Calcium Pantothenate/Cyanocobalamin,"다음 질환의 보조치료 : 만성 간질환, 간경변, 독성 간질환"
202102087,가네톡액,GANETOC Solution,제이더블유중외제약(주),JW Pharmaceutical,L-아르기닌/베타인/베타인염산염/시트르산수화물,"말티톨,벤조산나트륨,조합향료(포도향311253) ,수크랄로스,카라멜색소,효소처리스테비아,정제수",,일반의약품,L-Arginine/Betaine/Betaine Hydrochloride/Citric Acid Hydrate,간질환의 보조 치료
202303237,가넥트액,Ganact Sol.,동아제약(주),"Dong-A Pharmaceutical Co., Ltd.",벤포티아민/리보플라빈포스페이트나트륨/피리독신염산염/니코틴산아미드/우르소데옥시콜산/베타인염산염,"조합향료(에너지드링크항 K-221803),고과당,시트르산,염화나트륨,백당,수크랄로스,조합향료(에너지드링크향 K-221801),시트르산나트륨수화물,시클로덱스트린,정제수",,일반의약품,Benfotiamine/Riboflavin Sodium Phosphate/Pyridoxine Hydrochloride/Nicotinamide/Ursodeoxycholic Acid/Betaine Hydrochloride,"○ 다음 경우의 비타민 B1, B2, B6의 보급 - 육체피로 - 임신·수유기 - 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다. · 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 · 각기 · 눈의 피로"
200308596,가두벌크림,Gadubol Cream,삼익제약(주),"Samik Pharmaceutical Co., Ltd.",디펜히드라민/l-멘톨/디부카인염산염/dl-캄파/에녹솔론,"프로필렌글리콜,파라옥시벤조산프로필,세토스테아릴알코올,폴리소르베이트60,스테아릴알코올,경질유동파라핀,디메티콘,소르비탄스테아레이트,파라옥시벤조산메틸,정제수",,일반의약품,Diphenhydramine/L-Menthol/Dibucaine Hydrochloride/DL-Camphor/Enoxolone,"벌레 물린데, 피부가려움, 습진, 두드러기, 피부염, 땀띠, 동창"
201507261,가딘정75밀리그램(라니티딘염산염),Gadin Tab. 75mg,유니메드제약(주),UNIMED PHARM INC.,라니티딘염산염,"미결정셀룰로오스,오파드라이200핑크(202O640001),스테아르산마그네슘,경질무수규산,카르복시메틸셀룰로오스칼슘,오파드라이화이트 OY-C-7000A",,일반의약품,Ranitidine Hydrochloride,"위산과다, 속쓰림, 신트림"
199902902,가레오액(디히드록시디부틸에테르),Galeo Solution,조아제약(주),"Cho-a pharm.co.,ltd",디히드록시디부틸에테르,"벤조산나트륨,시트르산,D-소르비톨액 70%,정제수",,일반의약품,Dihydroxydibutyl Ether," 소화불량증상(복부팽만감, 소화의 지연, 트림, 구역)의 개선"
198802329,가레오연질캡슐(디히드록시디부틸에테르),Galeo Soft Cap. 250mg,조아제약(주),"Cho-a pharm.co.,ltd",디히드록시디부틸에테르,"흑색산화철,폴리에틸렌글리콜400,에틸바닐린,젤라틴,산화티탄,산화철,비결정성소르비톨액,농글리세린",,일반의약품,Dihydroxydibutyl Ether,"소화불량증상(복부팽만감, 소화의 지연, 트림, 구역)의 개선"
198802326,가레오연질캡슐500밀리그램(디히드록시디부틸에테르),Galeo Soft Cap. 500mg,조아제약(주),"Cho-a pharm.co.,ltd",디히드록시디부틸에테르,"흑색산화철,폴리에틸렌글리콜400,에틸바닐린,젤라틴,산화티탄,산화철,비결정성소르비톨액,농글리세린",,일반의약품,Dihydroxydibutyl Ether,"소화불량증상(복부팽만감, 소화의 지연, 트림, 구역)의 개선"
198601346,"가소콜액(시메티콘)(군납용 : 시메티콘현탁액500밀리리터, SimethiconeOralSuspension500ml)",Gasocol SOL.,(주)태준제약,"Taejoon Pharmaceutical Co., Ltd.",시메티콘,"시트르산수화물,피로아황산나트륨,벤조산나트륨,폴리소르베이트80,아스파탐,잔탄검,바나나 엣센스 에스에치,카르복시메틸셀룰로오스나트륨,D-소르비톨액,스트로우베리후레바#F-S294,소르비탄모노스테아레이트,정제수",,일반의약품,Simethicone,"1) 위내시경 검사시 장내기포제거 2) 복부 X선 촬영시 장내가스제거 3) 위장관내 가스로 인한 복부 증상(복부팽만감, 공기연하증 등)의 개선"
201908292,가스부틴정100mg(트리메부틴말레산염),,주식회사케이에스제약,KS Pharm. Inc.,트리메부틴말레산염,"유당수화물,이산화규소,스테아르산마그네슘,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Trimebutine Maleate,"1) 식도역류 및 열공헤르니아(틈새 탈장),위 십이지장염, 위 십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토) 2) 과민성대장증후군 및 경련성 결장 3) 소아 질환 : 습관성 구토, 비감염성 장관통과장애 (변비, 설사)"
202302463,가스앤드액(시메티콘),Gasend Solution,유니메드제약(주),UNIMED PHARM INC.,시메티콘,"피로아황산나트륨,시트르산수화물,벤조산나트륨,폴리소르베이트80,D-소르비톨 액,아스파탐,딸기향(SH09-0946),잔탄검,소르비탄모노스테아레이트,정제수",,일반의약품,Simethicone,"1. 주효능 ㆍ 효과 1) 위내시경 검사 시 장내기포제거 2) 복부(배부분) X선 촬영 시 장내가스제거 3) 위장관내 가스로 인한 복부 증상(복부(배부분)팽만감, 공기연하증(공기삼킴증) 등)의 개선"
201604859,가스제로구강필름(시메치콘),,(주)씨엘팜,"C.L.Pharm. Co., Ltd.",시메치콘,"말토덱스트린,히프로멜로오스,폴리에틸렌글리콜400,산화티탄,L-멘톨,전호화전분,적색40호,수크랄로오스",,일반의약품,Simethicone,"위장관내 가스로 인한 복부 압박감, 복부 팽만감 및 배부름의 완화"
201801490,가스콘액(시메티콘),Gascone Solution,(주)텔콘알에프제약,telconRF pharmaceutical company,시메티콘,"피로아황산나트륨,시트르산수화물,벤조산나트륨,폴리소르베이트80,아스파탐,딸기향(SH09-0946),잔탄검,D-소르비톨액,소르비탄모노스테아레이트,정제수",,일반의약품,Simethicone,"1. 주효능 ㆍ 효과 1) 위내시경 검사 시 장내기포제거 2) 복부(배부분) X선 촬영 시 장내가스제거 3) 위장관내 가스로 인한 복부 증상(복부(배부분)팽만감, 공기연하증(공기삼킴증) 등)의 개선"
201501890,가스큐액(시메티콘),Gas-Q Solution,주식회사제뉴원사이언스,GENUONE Sciences Inc.,시메티콘,"벤조산나트륨,시트르산수화물,피로아황산나트륨,딸기향 HF-60241,폴리소르베이트80,아스파탐,잔탄검,시트르산나트륨수화물,D-소르비톨액,소르비탄스테아레이트,정제수",,일반의약품,Simethicone,"1) 위내시경 검사시 장내기포제거 2) 복부 X선 촬영시 장내가스제거 3) 위장관내 가스로 인한 복부 증상(복부팽만감, 공기연하증 등)의 개선"
201800788,간프로액(L-아스파르트산-L-오르니틴),Ganpro Solution(l-aspartate-l-ornithine),(주)유유제약,Yuyu Pharma,L-아스파르트산-L-오르니틴,"시트르산수화물,황색5호,메틸파라벤,오렌지엣센스#46-FI,프로필파라벤,잔탄검,수크랄로오스,D-만니톨,정제수",,일반의약품,L-Ornithine-L-Aspartate,중증의 간질환 해독의 보조 치료(예: 간경변)
200904336,갈마겔현탁액(알마게이트),Galmagel Suspension,주식회사제뉴원사이언스,GENUONE Sciences Inc.,알마게이트,"수산화나트륨,박하향 #37-FN,히드록시에틸 셀룰로오스,백당,에탄올(95),한천,D-소르비톨액,클로르헥시딘아세트산염,정제수",,일반의약품,Almagate,"다음 질환의 제산작용 및 증상의 개선 : 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림"
197600614,갈타제산(베타-갈락토시다제(아스퍼길루스)),GALTASE  Powder (β-Galactosidase(Aspergillus)),현대약품(주),"Hyundai Pharm Co., Ltd.",베타-갈락토시다제(아스퍼길루스),덱스트린,,일반의약품,Beta-Galactosidase (Aspergillus),"유아의 유당불내에 의한 소화불량의 개선 단일증후성 설사, 급성소화불량증, 감기성설사, 백색변성 설사, 만성설사, 미숙아·신생아의 설사 경관영양식, 경구유동식등의 섭취시 유당불내에 의한 설사의 개선"
202401444,갈해담액,Galhedam Solution,제일헬스사이언스(주),Jeil Health Science Inc.,마황/인삼/원지/길경/구아이페네신,"벤조산나트륨,시트르산수화물,아스파탐,고과당55,시트르산나트륨수화물,카르복시메틸셀룰로오스나트륨,정제수",,일반의약품,Ephedra Herb/Ginseng/Polygala Root/Platycodon Root/Guaifenesin,"기침, 가래, 천식"
200702008,감마린디액,Gammarindi solution,태극제약(주),"TAI GUK PHARM. Co., Ltd.",피레트린엑스/피페로닐부톡시드,"프로필렌글리콜,시트르산수화물,이미드요소,황색 5호,코카미드디이에이,에탄올(95),폴리옥시에틸렌라우릴에테르황산나트륨,폴리소르베이트 80,코카미도프로필베타인,정제수",,일반의약품,Pyrethrin Extract/Piperonyl Butoxide,"머릿니, 사면발이, 몸이의 감염증치료"
201500053,감마마그빅연질캡슐,Gamma Magbig Soft Cap.,알파제약(주),"Alpha Pharm. Co., Ltd.",γ-오리자놀/피리독신염산염/티아민질산염/산화마그네슘/토코페롤아세테이트,"콩기름,메틸파라벤,레시친,젤라틴,산화티탄,프로필파라벤,적색40호,D-소르비톨액,바닐린,팜유,농글리세린,청색1호",,일반의약품,Gamma-Oryzanol/Pyridoxine Hydrochloride/Thiamine Nitrate/Magnesium Oxide/Tocopherol Acetate,- 육체피로 - 임신 ㆍ 수유기 - 병중 ㆍ 병후 (병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 이 약에 함유된 비타민 등의 효능 ㆍ 효과는 다음과 같다.
200004479,감바로과립,Gambaro Granule,한솔신약(주),hansolpharm,갈근/마황/대추/육계/작약/감초/건강/에텐자미드/클로르페니라민말레산염/노스카핀/카페인무수물,"이상 수침연조엑스,유당수화물,옥수수전분",,일반의약품,Pueraria Root/Ephedra Herb/Jujube/Cinnamon Bark/Peony Root/Licorice/Ginger/Ethenzamide/Chlorpheniramine Maleate/Noscapine/Anhydrous Caffeine,"감기 제증상 (콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
202006924,감콜씨플러스캡슐,Gamcol C plus Cap.,(주)마더스제약,MOTHER'S PHARMACEUTICAL.,아세트아미노펜/클로르페니라민말레산염/dl-메틸에페드린염산염/클로페라스틴염산염/카페인무수물/티아민질산염/리보플라빈/아스코르브산,"겔화전분,실리콘디옥사이드,스테아르산마그네슘,크로스카멜로오스나트륨,히드록시프로필셀룰로오스,캡슐",,일반의약품,Acetaminophen/Chlorpheniramine Maleate/DL-Methylephedrine Hydrochloride/Cloperastine Hydrochloride/Anhydrous Caffeine/Thiamine Nitrate/Riboflavin/Ascorbic Acid,"감기의 제증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화"
200801645,개비스콘더블액션현탁액,Gaviscon Double Action Suspension,(유)옥시레킷벤키저,Reckitt Benckiser Healthcare (UK) Limited,알긴산나트륨/탄산칼슘/탄산수소나트륨,"수산화나트륨,카보머974P,페퍼민트향,파라옥시벤조산프로필,파라옥시벤조산메틸,삭카린 나트륨,정제수",,일반의약품,Sodium Alginate/Calcium Carbonate/Sodium Bicarbonate,"다음의 위식도 역류의 증상 개선 : ○ 산 역류 ○ 속쓰림 ○ 위 내용물의 역류로 인한 소화불량 (예를 들어 식사 후, 임신 중, 역류성 식도염과 동반하는 경우의)"
200606295,개비스콘페퍼민트현탁액,GABISCON PEPPERMINT SUSPENSION,(유)옥시레킷벤키저,Reckitt Benckiser Healthcare (UK) Limited,알긴산나트륨/탄산수소나트륨/탄산칼슘,"수산화나트륨,파라옥시벤조산프로필,민트향,카보머,파라옥시벤조산메틸,삭카린 나트륨,정제수",,일반의약품,Sodium Alginate/Sodium Bicarbonate/Calcium Carbonate,"○ 산 역류 ○ 속쓰림 ○ 위 내용물의 역류로 인한 소화불량 (예를 들어 식사 후, 임신 중, 역류성 식도염과 동반하는 경우의)"
200500268,거글스프레이(포비돈요오드),Gargle Spray,동아제약(주),"Dong-A Pharmaceutical Co., Ltd.",포비돈 요오드,"프로필렌글리콜,조합향료(바닐라플레이버),조합향료(허브분말향DA),자일리톨,유칼립톨,에탄올(95),효소처리스테비아,요오드화칼륨,농글리세린,정제수,l-멘톨",,일반의약품,Povidone Iodine,"구강내 살균소독, 인두염, 후두염, 구내염, 발치후 및 구내수술후 살균소독, 구취증"
201700245,건아이점안액(폴리소르베이트80)(1회용),Guneye Eye Drops(single use),유니메드제약(주),UNIMED PHARM INC.,폴리소르베이트 80,"수산화나트륨,염화나트륨,시트르산,에데트산나트륨수화물,레티놀팔미테이트,시트르산나트륨수화물,주사용수,D-만니톨",,일반의약품,Polysorbate 80,"눈의 건조증상의 완화, 자극의 일시적 경감"
197000208,건위황정,,(주)넥스팜코리아,nexpharm korea,탄산수소나트륨/황백가루,"젤라틴,스테아르산마그네슘,옥수수전분",,일반의약품,Sodium Bicarbonate/Phellodendron Bark Powder,"위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림, 식욕감퇴(식욕부진), 소화불량, 과식"
202302051,건일이부프로펜연질캡슐400밀리그램,Kuhnil Ibuprofen 400mg Capsule,건일제약(주),"Kuhnil Pharmaceutical Co., Ltd.",이부프로펜,"폴리소르베이트80,치자청색소,수산화칼륨,부틸히드록시톨루엔,젤라틴,폴리에틸렌글리콜600,포비돈,부분탈수유동소르비톨,정제수,디에틸렌글리콜모노에틸에테르",,일반의약품,Ibuprofen,"- 감기로 인한 발열 및 동통(통증), 요통, 생리통, 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 수술후 동통(통증) - 두통, 편두통, 치통, 근육통, 신경통, 강직성 척추염, 급성통풍, 건선(마른비늘증)성 관절염, 연조직손상(염좌(삠), 좌상(타박상)), 비관절 류마티스질환(건염(힘줄염), 건초염(힘줄윤활막염), 활액(윤활)낭염)"
199501099,게루삼엠정(건조수산화알루미늄겔),Gerusam M Tab.(Dried Aluminium Hydroxide Gel),삼남제약(주),"SAMNAM PHARMACEUTICAL CO., LTD",건조수산화알루미늄 겔,"스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,옥수수전분",,일반의약품,Dried Aluminium Hydroxide Gel,"다음 질환의 제산작용 및 증상의 개선 : 위.십이지장궤양, 위염, 위산과다"
196400046,게루삼정,Gelusam Tab.,삼남제약(주),"SAMNAM PHARMACEUTICAL CO., LTD",건조수산화알루미늄 겔/침강탄산칼슘/탄산마그네슘/탄산수소나트륨,"스테아르산마그네슘,카르복시메틸셀룰로오스칼슘",,일반의약품,Dried Aluminium Hydroxide Gel/Precipitated Calcium Carbonate/Magnesium Carbonate/Sodium Bicarbonate,"위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림."
202007294,게보린릴랙스연질캡슐,GEWORIN Relax Soft Capsule,삼진제약(주),"SAMJIN PHARM.CO.,LTD",이부프로펜/산화마그네슘,"콩기름,레시틴,황색5호,수산화칼륨,부틸히드록시톨루엔,숙신산젤라틴,산화티탄,폴리에틸렌글리콜600,소르비톨소르비탄 액,야자경화유,황납,적색40호,정제수",,일반의약품,Ibuprofen/Magnesium Oxide,"1. 두통, 치통, 발치후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삠통증), 월경통(생리통), 외상통의 진통, 2. 오한(춥고 떨리는 증상), 발열시의 해열"
202107495,게보린브이정(아세트아미노펜),GEWORIN V Tablet,삼진제약(주),"SAMJIN PHARM.CO.,LTD",아세트아미노펜,"저치환도히드록시프로필셀룰로오스,스테아르산,오파드라이흰색(03B28796),크로스카멜로오스나트륨,콜로이드성이산화규소,스테아르산마그네슘,히드록시프로필셀룰로오스",,일반의약품,Acetaminophen,"감기로 인한 발열 및 동통(통증), 두통, 신경통, 근육통, 월경통, 염좌통(삔 통증) 치통, 관절통, 류마티양 동통(통증)"
201908295,게보린소프트연질캡슐,GEWORIN Soft softcap.,삼진제약(주),"SAMJIN PHARM.CO.,LTD",이부프로펜/파마브롬,"수산화칼륨,부틸히드록시톨루엔,숙신산젤라틴,폴리에틸렌글리콜600,소르비톨소르비탄 액,코치닐추출색소,정제수",,일반의약품,Ibuprofen/Pamabrom,"1. 두통, 치통, 발치후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삠통증), 월경통(생리통), 외상통의 진통, 2. 오한(춥고 떨리는 증상), 발열시의 해열"
197900277,게보린정(수출명:돌로린정),Geworin Tab.,삼진제약(주),"SAMJIN PHARM.CO.,LTD",아세트아미노펜/카페인무수물/이소프로필안티피린,"적색3호,저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,스테아르산마그네슘,실리콘디옥시드,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Acetaminophen/Anhydrous Caffeine/Isopropylantipyrine," - 두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨통증), 타박통, 골절통, 염좌통(삔 통증), 월경통(생리통), 외상(상처)통의 진통 - 오한(춥고 떨리는 증상), 발열시의 해열"
202006756,게보린쿨다운정,GEWORIN Cooldown Tablet,삼진제약(주),"SAMJIN PHARM.CO.,LTD",아세트아미노펜/벤포티아민/리보플라빈/제피아스코르브산,"오파드라이 클리어(03K19229),저치환도히드록시프로필셀룰로오스,크로스카르멜로오스나트륨,스테아르산,오파드라이QX녹색(321A610044),콜로이드성이산화규소,스테아르산마그네슘,히드록시프로필셀룰로오스",,일반의약품,Acetaminophen/Benfotiamine/Riboflavin/Ascorbic Acid Coated,"1. 두통, 치통, 발치 후 동통(통증), 인후통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삠통증), 월경통(생리통), 외상통의 진통 2. 오한, 발열시의 해열"
202401286,게보핏맥스플라스타(플루르비프로펜),Gewofit Max Plasta (Flurbiprofen),삼진제약(주),"SAMJIN PHARM.CO.,LTD",플루르비프로펜,"바닐부틸에테르,L-멘톨,실리코나이즈드폴리에스테르필름,고무계점착용액,아크릴계점착용액,부직포",,일반의약품,Flurbiprofen,"다음 질환 및 증상의 진통 ㆍ 소염 : 퇴행성관절염(골관절염), 어깨관절주위염, 건 ㆍ 건초염, 상완골상과염(테니스 엘보우 등), 근육통, 외상후의 종창 ㆍ 동통"
202400559,게보핏스트롱카타플라스마(디클로페낙나트륨),GEWOFIT Strong Cataplasma (Diclofenac Sodium),삼진제약(주),"SAMJIN PHARM.CO.,LTD",디클로페낙나트륨,"프로필렌글리콜,폴리비닐피롤리돈,타르타르산,피로아황산나트륨,폴리소르베이트80,폴리아크릴산나트륨,젤라틴,산화티탄,부직점착테이프,에데트산나트륨수화물,L-멘톨,실리코나이즈드폴리에스테르필름,카르복시메틸셀룰로오스나트륨,건조수산화알루미늄 겔,농글리세린,정제수,부직포",,일반의약품,Diclofenac Sodium,"골관절염, 어깨관절 주위염, 힘줄 및 힘줄윤활막염, 힘줄주위염, 팔꿈치 통증(테니스엘보), 근육통, 외상 후 부기 및 통증"
201708500,게보핏파워플라스타(디클로페낙나트륨),Gewofit Power Plaster(Diclofenac Sodium),삼진제약(주),"SAMJIN PHARM.CO.,LTD",디클로페낙나트륨,"에탄올(95),실리코나이즈드폴리에스테르필름,소르비탄올레에이트,고무계점착용액,아크릴계점착용액,부직포,l-멘톨",,일반의약품,Diclofenac Sodium,"다음 질환 및 증상의 진통, 소염(항염) 1) 퇴행성 관절염(골(뼈)관절염) 2) 어깨관절 주위염 3) 힘줄 및 힘줄윤활막염 4) 힘줄주위염 5) 위팔뼈상과염(테니스엘보 등) 6) 근육통(근, 근막성 요(허리)통증 등) 7) 외상(상처) 후 부기 및 통증"
201310271,게이트정(알마게이트),Gate Tab.(Almagate),오스틴제약(주),"Austin pharm.co.,Ltd",알마게이트,"유당수화물,콜로이드성이산화규소,스테아르산마그네슘,전분글리콜산나트륨",,일반의약품,Almagate,"다음 질환의 제산작용 및 증상의 개선 : 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림"
199001305,겔마현탁액,Gelma Suspension,삼진제약(주),"SAMJIN PHARM.CO.,LTD",구아야줄렌/디메티콘,"수산화나트륨,레몬엣센스,메틸파라벤,박하엣센스,카라게난,에데트산나트륨수화물,효소처리스테비아,D-소르비톨액,정제수",,일반의약품,Guaiazulene/Dimethicone,"위염, 식도염, 소화불량, 가슴쓰림, 열공(구멍)헤르니아(탈장), 복부(배부분)팽만감"
201400916,겔비스톤현탁액,Gelviscon Suspension,(주)텔콘알에프제약,telconRF pharmaceutical company,알긴산나트륨/탄산수소나트륨/침강탄산칼슘,"카보머974P,메틸파라벤,프로필파라벤,레몬라임후레바 SJ-B,아세설팜칼륨,정제수",,일반의약품,Sodium Alginate/Sodium Bicarbonate/Precipitated Calcium Carbonate,"다음의 위식도 역류의 증상 개선 : ○ 산 역류 ○ 속쓰림 ○ 위 내용물의 역류로 인한 소화불량 (예를 들어 식사 후, 임신 중, 역류성 식도염과 동반하는 경우의)"
